osm_id,latitude,longitude,name,type
382061065,46.0522224665786,11.4530754089355,Bar Bocciodromo,bar
3802220163,46.0031922136799,11.3697338104248,Dall'Ersilia,bar
28922411,46.0695834321557,11.2204957008362,Comunello & co,abbigliamento
3952792061,46.059520767358,11.2392818927765,Bar 2000,bar
11327715662,46.0116873495375,11.3011765480042,Cose Così,prodottitipici
662440702,46.0071567727698,11.293044090271,LD Lombardini Discaunt,alimentari
8925982357,46.078500021792,11.5810060501099,Betty's Hill,pizzeria
106406115,46.0610376356,11.2408912181854,Crazy Bike,serviziobiciclette
1111843220,46.0679383947018,11.2229740619659,Emar di Lanza Marcello,negozio
5776482338,46.0532276456111,11.457302570343,Ufficio APT Valsugana - Pergine,info
42028965,46.060218718044,11.2400543689728,Le Primizie,alimentari
9580758624,46.0618416519288,11.6358518600464,Alimentari Moranduzzo,alimentari
1620985279,46.051686363614,11.4565515518188,Bar Vulcano,bar
317062421,46.0090756067523,11.3021904230118,Famiglia Cooperativa,alimentari
83076307,46.0782618678408,11.277186870575,Museo degli attrezzi agricoli e artigianali,museo
2393254562,45.9918335205079,11.2626600265503,Bar Centrale,bar
729689601,46.0584393916714,11.214154958725,Rosa Nera,birreria
3578043,46.0563621975529,11.4637613296509,Cream Cafè - Miriam,bar
3951298229,46.0589382044302,11.2403118610382,Vecchia Pergine,pizzeria
3951277745,46.0605016182093,11.241717338562,All White Co'Te' Blanc,negozio
171422865,46.0777111328917,11.206226348877,Alla Corte,ristorante
274085436,46.0941563885027,11.2337779998779,Albergo Alla Comparsa,ristorante
3924171662,46.0533542224146,11.4552211761475,Sale & Pepe,pizzeria
1111843220,46.0679383947018,11.2229740619659,New Marval,negozio
5748664774,46.0120003033086,11.2999534606934,Farmacia De Prez,farmacia
3952792064,46.0613651992214,11.2383913993835,Al Posta,pizzeria
3952815305,46.0616629826454,11.2421894073486,Dary Car,automoto
975597307,46.0605760653803,11.2293362617493,Punto Verde Xausa,negozio
9646318391,46.0616406489443,11.241706609726,La Bottega dei Semplici di Anesi Carlo,negozio
7687845036,46.0596,11.2372,Albergo Ristorante Turismo,ristorante
1111843220,46.0679383947018,11.2229740619659,m@mo srl,negozio
1249248156,46.0648342764741,11.2293362617493,Lucky Floor,negozio
