route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
575,0000000672017091120180607,0002869202017091120180607,Lenzima,0,D1052_R5E331_sub2,1
490,0000000592017091120180607,0002869212017091120180607,Costa Capolinea,1,D30_C5224_sub2,2
488,0000000662017091120180607,0002869222017091120180607,Marco,0,D1078_R5119d_Andata_sub1,1
488,0000000602017091120180607,0002869242017091120180607,Nomi Piazza Springa,0,D443_R5520a_Ritorno_sub2,1
575,0000000772017091120180607,0002869282017091120180607,Stazione Fs,0,D1111_R5391b_Andata_sub2,1
490,0000001092017091120180607,0002869322017091120180607,Piazzale S.Giorgio Ovest,0,D377_R5219_Andata_sub1,2
488,0000000602017091120180607,0002869342017091120180607,Marco,0,D1150_R5617c_Andata_sub2,1
488,0000000672017091120180607,0002869362017091120180607,Marco,0,D1073_R5107b_Andata_sub2,1
488,0000000672017091120180607,0002869372017091120180607,Corso Bettini Liceo,0,D269_F5126a_Ritorno_sub1,1
488,0000000662017091120180607,0002869392017091120180607,Corso Bettini Liceo,0,D101_E5156b_Ritorno_sub1,1
488,0000000662017091120180607,0002869422017091120180607,S.Ilario Via Monti,0,D367_R5176_Ritorno_sub2,1
488,0000000662017091120180607,0002869432017091120180607,Marco,0,D1073_R5107b_Andata_sub2,1
497,0000000822017091120180607,0002869442017091120180607,Nomi Piazza Springa,0,D1131_R5552b_Ritorno_sub1,
497,0000000662017091120180607,0002869452017091120180607,Nomi Piazza Springa,0,D1131_R5552b_Ritorno_sub1,
488,0000000822017091120180607,0002869462017091120180607,Marco,0,D996_E5109a_Andata_via_Zona_Industriale_sub1,1
488,0000000662017091120180607,0002869472017091120180607,Marco,0,D1075_R5109d_Andata_via_Zona_Industriale_sub2,1
490,0000000682017091120180607,0002869502017091120180607,Viale Vittoria Fucine,0,D373_R5215_Andata_sub2,2
496,0000000602017091120180607,0002869542017091120180607,Tierno Via Terra Nera,0,D1058_R5E611_sub1,1
488,0000000772017091120180607,0002869552017091120180607,Marco,0,D1150_R5617c_Andata_sub2,1
490,0000000602017091120180607,0002869582017091120180607,Viale Vittoria Fucine,0,D1088_R5217b_Andata_sub2,2
490,0000000672017091120180607,0002869622017091120180607,Piazza Filzi Via Del Porto,0,D373_R5215_Andata_sub2,2
490,0000000672017091120180607,0002869632017091120180607,S.Ilario Via Monti,1,D374_R5216a_Ritorno_sub2,2
490,0000000602017091120180607,0002869652017091120180607,Costa Capolinea,1,D378_R5220_Ritorno_sub2,2
488,0000000692017091120180607,0002869692017091120180607,Marco,0,D343_R5125a_Andata_sub1,1
575,0000000822017091120180607,0002869752017091120180607,Villa Lagarina Via Alpini,0,D67_C6307_sub1,1
488,0000000662017091120180607,0002869762017091120180607,Savignano,0,D23_C5101_sub2,1
488,0000000672017091120180607,0002869782017091120180607,Savignano,0,D23_C5101_sub2,1
488,0000000822017091120180607,0002869792017091120180607,Savignano,0,D23_C5101_sub2,1
488,0000000672017091120180607,0002869802017091120180607,Pomarolo Via Degasperi,0,D25_C5103_sub2,1
488,0000000822017091120180607,0002869812017091120180607,Pomarolo Via Degasperi,0,D25_C5103_sub2,1
488,0000000662017091120180607,0002869822017091120180607,Pomarolo Chiesa,0,D25_C5103_sub2,1
575,0000000672017091120180607,0002869842017091120180607,Corso Rosmini Monumento,0,D515_R5E356_sub2,1
575,0000000772017091120180607,0002869852017091120180607,Corso Rosmini Monumento,0,D515_R5E356_sub2,1
562,0000000592017091120180607,0002869872017091120180607,Via 13 Settembre,0,D1063_R5071_sub1,1
562,0000000592017091120180607,0002869882017091120180607,Via 13 Settembre,0,D1063_R5071_sub1,1
562,0000000592017091120180607,0002869892017091120180607,Via 13 Settembre,0,D1063_R5071_sub1,1
562,0000000592017091120180607,0002869902017091120180607,Via 13 Settembre,0,D1063_R5071_sub1,1
562,0000000592017091120180607,0002869912017091120180607,Via 13 Settembre,0,D1063_R5071_sub1,1
562,0000000592017091120180607,0002869922017091120180607,Via 13 Settembre,0,D1063_R5071_sub1,1
562,0000000592017091120180607,0002869932017091120180607,Via 13 Settembre,0,D1063_R5071_sub1,1
562,0000000592017091120180607,0002869942017091120180607,Via 13 Settembre,0,D1063_R5071_sub1,1
496,0000000672017091120180607,0002869962017091120180607,S.Ilario Via Monti,0,D1142_R5609b_Andata_sub1,1
575,0000000602017091120180607,0002870002017091120180607,Via Balista,0,D507_R5E307_sub1,1
488,0000000672017091120180607,0002870032017091120180607,Piazzale Orsi Stazione Fs,0,D447_R5554a_Ritorno_sub1,1
496,0000000682017091120180607,0002870092017091120180607,Tierno Via Terra Nera,0,D1154_R5639a_Andata_sub2,1
496,0000000692017091120180607,0002870102017091120180607,Piazzale Orsi Ist. Veronesi,0,D1142_R5609b_Andata_sub2,1
496,0000000682017091120180607,0002870112017091120180607,Piazzale Orsi Ist. Veronesi,0,D1142_R5609b_Andata_sub2,1
496,0000000692017091120180607,0002870122017091120180607,Stazione Fs,0,D1145_R5613b_Andata_sub1,1
488,0000000622017091120180607,0002870162017091120180607,Marco,0,D1150_R5617c_Andata_sub2,1
488,0000000622017091120180607,0002870172017091120180607,Pomarolo Via Degasperi,0,D266_F5122c_Ritorno_sub1,1
488,0000000622017091120180607,0002870182017091120180607,Pomarolo Via Degasperi,0,D272_F5128c_Ritorno_sub2,1
488,0000000622017091120180607,0002870192017091120180607,Nomi Piazza Springa,0,D1029_F5132d_Ritorno_sub2,1
488,0000000622017091120180607,0002870202017091120180607,Marco,0,D1032_F5135e_Andata_sub2,1
488,0000000622017091120180607,0002870212017091120180607,Stazione Fs,0,D1026_F5129c_Andata_sub2,1
488,0000000622017091120180607,0002870222017091120180607,Nomi Piazza Springa,0,D275_F5130a_Ritorno_sub1,1
488,0000000622017091120180607,0002870232017091120180607,Nomi Piazza Springa,0,D269_F5126a_Ritorno_sub1,1
488,0000000622017091120180607,0002870242017091120180607,Nomi Piazza Springa,0,D269_F5126a_Ritorno_sub1,1
488,0000000622017091120180607,0002870252017091120180607,Nomi Piazza Springa,0,D276_F5130_Ritorno_sub2,1
488,0000000622017091120180607,0002870262017091120180607,Nomi Piazza Springa,0,D269_F5126a_Ritorno_sub1,1
488,0000000622017091120180607,0002870272017091120180607,Nomi Piazza Springa,0,D1029_F5132d_Ritorno_sub2,1
490,0000000622017091120180607,0002870302017091120180607,Isera P.Zza S.Vincenzo-O.,0,D1037_F5213a_Andata_sub2,2
