id,latitude,longitude,name,type,osm_id
it.trentour.domains.core.PointOfInterest.52af11451512e121e8dd3728,46.098565,11.23632,Tondini Mattia,alimentari,1188951255
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd393e,46.135142,11.249391,SERGIO,ristorante,2967453836
it.trentour.domains.core.PointOfInterest.52af11451512e121e8dd3722,46.154355,11.309748,BAR GENZIANELLA ,bar,1189004621
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd394a,46.144957,11.192857,BAR SPORT (ALBIANO),bar,1183435146
it.trentour.domains.core.PointOfInterest.52af11491512e121e8dd3b4e,46.088693,11.180866,Negozio Molinari Sport ,negoziosport,102219048
it.trentour.domains.core.PointOfInterest.52af11431512e121e8dd32fa,46.1549,11.286,HOTEL PINETA,hotel,170257060
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd383c,46.180313,11.32333,BAR AL LAGO DELLE BUSE,bar,262073964
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd2fa4,46.176205,11.212296,PALACURLING,stadioghiaccio,42326463
it.trentour.domains.core.PointOfInterest.52af114c1512e121e8dd3d88,46.131443,11.246644,Lions' Cafè,bar,269084179
it.trentour.domains.core.PointOfInterest.52af11441512e121e8dd3538,46.1436,11.2608,MARZADRI MARIA,appartamentovacanze,24766352
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd3908,46.1702,11.2148,AGRITUR MASO VAL FRAJA,agriturismo,528256120
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd3189,46.175676,11.222145,Il forno Holler,alimentari,42178642
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd317b,46.1494,11.2688,R.T.A. MONTECHIARA,hotel,605427556
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd3842,46.156111,11.153293,Bar al Portec,bar,2468231575
it.trentour.domains.core.PointOfInterest.52af11441512e121e8dd353f,46.181283,11.23687,MARYALEX (FAVER),parrucchiera,253309861
it.trentour.domains.core.PointOfInterest.52af11491512e121e8dd3b06,46.132577,11.244665,Renata Mode,abbigliamento,293233391
it.trentour.domains.core.PointOfInterest.52af114a1512e121e8dd3b84,46.183138,11.251027,AZIENDA AGRICOLA BARONE A PRATO PAOLO,prodottitipici,654054278
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd3836,46.157032,11.281,ANDREATTA ROMANO,appartamentovacanze,26239297
it.trentour.domains.core.PointOfInterest.52af114c1512e121e8dd3d8e,46.160546,11.187662,CASSA RURALE DI GIOVO,banca,1245762615
it.trentour.domains.core.PointOfInterest.52af11411512e121e8dd2f04,46.2173,11.3267,HOTEL TIROL,centrowellness,216511654
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd382a,46.133233,11.248433,Villa Anita,bar,26122960
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd3182,46.083337,11.199099,BASSANO AMERICAN GAME,negozio,9201653
it.trentour.domains.core.PointOfInterest.52af11441512e121e8dd3545,46.188558,11.257594,Menegatti,alimentari,253064560
it.trentour.domains.core.PointOfInterest.52af114c1512e121e8dd3d94,46.144266,11.194708,Famiglia Cooperativa ,alimentari,24790155
it.trentour.domains.core.PointOfInterest.52af114a1512e121e8dd3b78,46.140278,11.256389,Giro Dos Alt - Cime Alte,attrazionenaturale,259536186
it.trentour.domains.core.PointOfInterest.52af11421512e121e8dd316b,46.133308,11.24791,Edizioni del Baldo srl,cartoleria-libreria,832929590
it.trentour.domains.core.PointOfInterest.52af11471512e121e8dd3830,46.221526,11.294146,UNICREDITBANCA SPA,banca,234348171
it.trentour.domains.core.PointOfInterest.52af114b1512e121e8dd3d16,46.17572,11.221987,Macelleria Paolazzi,alimentari,42178684
